Country,Death,Elevation,Location,Name,Type,VEI,Year
Indonesia,,813,Indonesia,Krakatau,Caldera,,1884
Colombia,,4650,Colombia,Purace,Stratovolcano,3,1885
Indonesia,74,3676,Java,Semeru,Stratovolcano,2,1885
Ecuador,2,5023,Ecuador,Tungurahua,Stratovolcano,4,1886
New Zealand,153,1111,New Zealand,Okataina,Lava dome,2,1886
Tonga,,260,Tonga-SW Pacific,Niuafo'ou,Shield volcano,4,1886
Philippines,15,2462,Luzon-Philippines,Mayon,Stratovolcano,3,1887
Japan,461,1819,Honshu-Japan,Bandai,Stratovolcano,4,1888
Papua New Guinea,,140,New Guinea-NE of,Ritter Island,Stratovolcano,3,1888
Indonesia,,-5,Sangihe Is-Indonesia,Banua Wuhu,Submarine volcano,2,1889
Indonesia,,1357,Halmahera-Indonesia,Makian,Stratovolcano,2,1890
Papua New Guinea,,1925,New Guinea,Victory,Stratovolcano,2,1890
Indonesia,180,2145,Sumatra,Sorikmarapi,Stratovolcano,2,1892
Indonesia,1532,1320,Sangihe Is-Indonesia,Awu,Stratovolcano,3,1892
Tonga,,512,Tonga-SW Pacific,Tofua,Caldera,2,1892
Chile,,2003,Chile-S,Calbuco,Stratovolcano,4,1893
Japan,2,2024,Honshu-Japan,Azuma,Stratovolcano,2,1893
Vanuatu,10,1334,Vanuatu-SW Pacific,Ambrym,Pyroclastic shield,3,1894
Indonesia,,3676,Java,Semeru,Stratovolcano,2,1895
Japan,4,1700,Kyushu-Japan,Kirishima,Shield volcano,2,1895
Papua New Guinea,21,1839,New Guinea-NE of,Karkar,Stratovolcano,2,1895
Papua New Guinea,,400,New Britain-SW Pac,Dakataua,Caldera,2,1895
Japan,1,1700,Kyushu-Japan,Kirishima,Shield volcano,2,1896
Philippines,350,2462,Luzon-Philippines,Mayon,Stratovolcano,3,1897
Solomon Is.,,851,Santa Cruz Is-SW Pac,Tinakula,Stratovolcano,2,1897
Colombia,55,4150,Colombia,Dona Juana,Stratovolcano,4,1899
Papua New Guinea,2,1807,New Guinea-NE of,Manam,Stratovolcano,2,1899
Ethiopia,,2349,Africa-NE,Tullu Moje,Pumice cone,,1900
Japan,2,1700,Kyushu-Japan,Kirishima,Shield volcano,2,1900
Japan,25,2560,Honshu-Japan,Asama,Complex volcano,2,1900
Japan,72,1718,Honshu-Japan,Adatara,Stratovolcano,2,1900
Indonesia,,1731,Java,Kelut,Stratovolcano,3,1901
Vanuatu,,833,Vanuatu-SW Pacific,Epi,Stratovolcano,,1901
Guatemala,1500,3772,Guatemala,Santa Maria,Stratovolcano,6,1902
Indonesia,16,2947,Java,Merapi,Stratovolcano,2,1902
Japan,125,403,Izu Is-Japan,Tori-shima,Stratovolcano,3,1902
Martinique,23,1397,W Indies,Pelee,Stratovolcano,,1902
Martinique,1500,1397,W Indies,Pelee,Stratovolcano,4,1902
Martinique,28000,1397,W Indies,Pelee,Stratovolcano,4,1902
Martinique,,1397,W Indies,Pelee,Stratovolcano,,1902
St. Vincent & the Grenadines,1680,1220,W Indies,Soufriere St. Vincent,Stratovolcano,4,1902
Comoros,17,2361,Indian O-W,Karthala,Shield volcano,,1903
New Zealand,4,1111,New Zealand,Okataina,Lava dome,1,1903
